stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_url,location_type,parent_station
10353,Sani Konukoğlu Blv.,37.0747,37.4052,0,,0,
12412,Kocatepe Mah.,37.040722,37.691636,0,,0,
12918,Damlacık Mah Giriş.,37.0847432,37.2041345,0,,0,
10624,Kabarcık (Budak) Mah.,37.05609,37.1947,0,,0,
12534,Dericiler 1.,37.041059,37.428452,0,,0,
10199,İncilikaya,37.04201,37.4309,0,,0,
10417,Demokrasi Blv. Opet Karşısı,37.05238,37.41094,0,,0,
11513,Katip Hoca Cad.2,37.07977,37.37484,0,,0,
10358,İpek Yolu,37.074688,37.406763,0,,0,
10951,Cinderesi Emine Ulusoy İ.Ö.O,37.090121,37.379627,0,,0,
11515,Katip Hoca Cad.4,37.082574,37.375133,0,,0,
11395,Aliye Ömer Battal İ.Ö.O,37.05547,37.37972,0,,0,
11394,Haci Halil Camii,37.05139,37.38062,0,,0,
11834,Citroen Servisi,37.09543,37.40121,0,,0,
11771,Saha Restaurant,37.02926,37.31739,0,,0,
10043,Huzur Apartmanı,37.03275,37.32022,0,,0,
10763,Ali İhsan Göğüş Caddesi,37.07474,37.32978,0,,0,
10150,Zirve Konakları,37.07022,37.32172,0,,0,
11053,Mustafa Taşar Cad.,37.08704,37.32938,0,,0,
10088,Karataş 2 Gaski,37.014023,37.340919,0,,0,
11689,Nilüfer Erkek Öğrenci Yurdu,37.01174,37.34785,0,,0,
11211,Onkoloji Hastanesi,36.9923696,37.3100954,0,,0,
10059,Osman Gazi Mah. 56062 Nolu Cad. 2,37.05894,37.31472,0,,0,
10061,Huzur Evi,37.0554613,37.3207333,0,,0,
10760,1. Bölge Toki,37.011,37.35001,0,,0,
11819,Gülşen Batur Halı Saha,37.01089,37.34442,0,,0,
11346,Otogar Shell Petrol,37.10164,37.40259,0,,0,
10163,Fatih Camii,37.06535,37.40092,0,,0,
11835,Ritaş Fabrikası,37.09453,37.40077,0,,0,
10288,Eyüp Sultan Muhtarlık,37.08451,37.39215,0,,0,
11525,Bozgeyik Camii,37.06693,37.39647,0,,0,
10187,Fatih Camii,37.06532,37.40138,0,,0,
10049,Nihavend Konutları,37.07007,37.32516,0,,0,
10189,Akpınar Giyim,37.06582,37.40852,0,,0,
10117,Nihavend Konutları,37.07028,37.32514,0,,0,
10170,Şirehanı,37.06017,37.38577,0,,0,
11049,Abdulhamit Han Sondurak,37.00894,37.33171,0,,0,
11249,Yaren Sitesi,37.01186,37.3227,0,,0,
11035,Mehmet Akif Ersoy Parkı,37.06881,37.35585,0,,0,
10892,Gazi Ali Düşün Cad.3,37.0774,37.34819,0,,0,
11018,Topcuoğlu Camii,37.06933,37.35298,0,,0,
11046,Çağla Sitesi,37.08809,37.33136,0,,0,
11129,Subay Evleri,37.0602,37.3614,0,,0,
11173,Subay Evleri,37.05988,37.36047,0,,0,
11147,500 Evler Çankaya Plaza,37.02586,37.31806,0,,0,
11146,Şelale Park,37.02635,37.315046,0,,0,
11156,Çankaya Sitesi,37.02564,37.32025,0,,0,
11033,Mitat Enç 1,37.06989,37.36112,0,,0,
12300,Şelale Park,37.026645,37.314886,0,,0,
11148,Çankaya Sitesi,37.02556,37.32064,0,,0,
11157,Şahinbey Köy Pazarı,37.02603,37.31791,0,,0,
11149,500 Evler Sağlık Ocağı,37.02646,37.32413,0,,0,
11393,Düztepe İ.Ö.O,37.04788,37.38119,0,,0,
11158,Ayça Sitesi,37.02731,37.31442,0,,0,
10970,Şenyurt Cad 4.,37.05494,37.38353,0,,0,
11364,Düztepe Karakol,37.04802,37.38082,0,,0,
10969,Şenyurt Cad 3.,37.05544,37.38322,0,,0,
11153,Şahinbey Parkı,37.024972,37.3301,0,,0,
11188,Dr. Beyhan Aslan Apt.,37.06814,37.34846,0,,0,
11445,Altınyurt Yukarı Cammi,36.93315,37.49065,0,,0,
11443,Altunyurt Köyü Mezarlık,36.93277,37.48687,0,,0,
11362,M.Rüştü Uzel End. Mes. Lisesi,37.056376,37.379568,0,,0,
10967,Şenyurt Cad.1,37.056959,37.382801,0,,0,
11434,Sazgın Mah.1,36.93947,37.46299,0,,0,
11196,Hani Öksüz Çağdağ Apt.,37.06818,37.34883,0,,0,
11435,Sazgın Mah.2,36.9396,37.46292,0,,0,
11444,Altınyurt Cami,36.93539,37.4884,0,,0,
11399,Hz. Yakup Camii,37.04266,37.40337,0,,0,
11788,Şehitkamil Nikah Salonu,37.0952845,37.3916868,0,,0,
11793,Şehitkamil Nikah Salonu,37.0953013,37.3913784,0,,0,
11912,Sarısalkım Yolu,37.07198,37.30111,0,,0,
11926,29.Nolu Cadde,37.10231,37.42255,0,,0,
12660,Mert Güllüoğlu İnşaat,37.067508,37.303853,0,,0,
11398,Melisa Akar Parkı,37.09852,37.42208,0,,0,
11359,Melisa Akar Parkı,37.09835,37.42228,0,,0,
11360,Birlik İnşaat,37.10113,37.42123,0,,0,
12512,Vip Gayrimenkul 1.,37.103471,37.419328,0,,0,
11487,Lefkoşe Cad.2,37.081723,37.371848,0,,0,
11634,Gökçeli,36.88119,37.70179,0,,0,
11617,Kesiktaş Köyü,36.86217,37.73805,0,,0,
11088,Mavikent 2,37.00486,37.38432,0,,0,
11089,Mavikent 1,37.00491,37.3867,0,,0,
11090,Mavikent Sanayi Yolu 2,37.004536,37.387481,0,,0,
11341,Borsa Camii,37.08609,37.44383,0,,0,
11343,Gatem Girişi,37.08778,37.43758,0,,0,
10050,Muhsin Yazıcıoğlu Cad.,37.06967,37.33067,0,,0,
10115,Sena Sitesi,37.07057,37.33255,0,,0,
11780,Ensar Sitesi,37.02105,37.31597,0,,0,
11118,Bülent Göğebakan Parkı,37.07243,37.33008,0,,0,
12029,Güneykent Oska Park Sitesi,37.02137,37.32188,0,,0,
11783,Nizamoğlu Sitesi,37.02062,37.31957,0,,0,
10172,Eski Adliye,37.06208,37.37962,0,,0,
10328,Eski Emirgan,37.06532,37.37828,0,,0,
10928,Dokurcu Anıtı,37.06898,37.38445,0,,0,
11335,Açelya Villaları,36.992603,37.313451,0,,0,
11530,Derekenarı Sokak Trafo,37.06881,37.38639,0,,0,
10405,Muammer Aksoy Blv.,37.06863,37.3718,0,,0,
11329,Canlar Sağlık Kabini,37.04193,37.36804,0,,0,
10587,Ertuğrul Gazi İ.Ö.O,37.041917,37.380327,0,,0,
11209,Oska Benim Evim Sitesi,36.98832,37.296815,0,,0,
11336,Açelya Villaları,36.992378,37.313503,0,,0,
11273,Yeşilevler Camii,37.04206,37.3488,0,,0,
11298,Dergah Düğün Salonu,37.04661,37.37914,0,,0,
11766,109.Nolu Cadde,37.04315,37.34604,0,,0,
11245,Karataş 2 İş Bankası,37.0174,37.34227,0,,0,
11265,Şanlıdere Caddesi Kavşak,37.04305,37.39651,0,,0,
11292,Eşkinin Kahvesi,37.04453,37.35298,0,,0,
10807,Yeşilevler 14.Bolu Cad.,37.04244,37.34606,0,,0,
10808,Yeşilevler Gülmüş Market,37.04229,37.34481,0,,0,
11639,Akça Köy,36.83024,37.87015,0,,0,
10809,Yeşilevler Gülmüş Market,37.04215,37.34504,0,,0,
10806,Yeşilevler 14.Nolu Cad.,37.04247,37.34598,0,,0,
11846,Dinlenme Parkı,37.04551,37.35417,0,,0,
10856,Aşık Mahsuni Şerif,37.04725,37.37156,0,,0,
11262,Geylani Camii,37.04553,37.391,0,,0,
10467,Eski Tekel Durağı,37.07124,37.39478,0,,0,
12193,Kalyon Stadyumu,37.12324,37.37987,0,,0,
11531,Dokur Köyü,36.97064,37.07123,0,,0,
10470,Cengiz Topel 1,37.04468,37.39302,0,,0,
12133,Karaca Ahmet Mahallesi Kültür Merkezi,37.09672,37.39022,0,,0,
11358,1358 Nolu Durak,37.08574,37.44394,0,,0,
11573,Ugurtepe Köyü,36.96713,37.08724,0,,0,
11667,Oğuzeli Y.Ö.K Yurdu,36.954494,37.518505,0,,0,
10334,Çetinkaya,37.0742,37.36631,0,,0,
10410,Çözüm Kulak Burun Boğaz Merkezi,37.069108,37.36785,0,,0,
10710,Nailbilen Caddesi 1,37.070194,37.371586,0,,0,
11542,Cevizli Mah.3,36.93596,37.11172,0,,0,
10669,Muhacir Osman Mah. 1,36.92005,37.24193,0,,0,
11534,Morcalı Köyü,36.92339,37.0863,0,,0,
11647,Çiftlik Köy,36.82597,37.79453,0,,0,
11951,Taşlı Köyü,36.84119,37.71239,0,,0,
11988,Çiflikköy Mah.1,36.82481,37.79781,0,,0,
10708,Mermerciler Sitesi,37.01566,37.40757,0,,0,
10866,İncilika Kavşak,37.05159,37.43641,0,,0,
11606,Oğuzeli Mezarlık,36.952726,37.515188,0,,0,
10231,İncilikaya Sağlık Ocağı,37.05014,37.44206,0,,0,
12122,Oğuzeli Mezarlık 3,36.95335,37.51281,0,,0,
12047,Mermerciler Sitesi,37.01552,37.40759,0,,0,
10232,İncilikaya 37002 Nolu Cad.,37.04851,37.44311,0,,0,
10203,Diyar Market,37.04746,37.44051,0,,0,
11645,Şenlik Köyü,36.82512,37.82224,0,,0,
10520,Mehmet Oguz Gögüş Caddesi,37.05011,37.3501,0,,0,
11804,Kaleboynu Köyü,37.07427,37.20212,0,,0,
10622,Kaleboynu Mah.,37.0720139,37.1976776,0,,0,
10519,Mehmet Oguz Gögüş Caddesi,37.04997,37.34995,0,,0,
11101,Huzur Taksi,37.04991,37.34511,0,,0,
11952,Güveçli Köyü,36.85239,37.67976,0,,0,
11099,Pırlanta Düğün Salonu,37.04867,37.34012,0,,0,
11098,Yavuz Sultan Selim Cad Al-Pa,37.0477,37.33723,0,,0,
12208,Sefaşehir Barış Sitesi,37.14727,37.27499,0,,0,
12241,Bağtepe,37.330573,37.643145,0,,0,
12435,38.Nolu Sokak Kavşak,37.029177,37.326116,0,,0,
10435,Ensari Sitesi 1,37.0221,37.31561,0,,0,
12297,Eski Nizip Yolu Bag Evleri,37.1179229,37.508527,0,,0,
11238,Yıldız İnşaat,37.03109,37.31708,0,,0,
12298,Serpil Oktay Kara Orta Okulu,37.0350705,37.3674157,0,,0,
12296,Eski Nizip Yolu Bag Evleri,37.1179959,37.5090601,0,,0,
11144,Kent Sitesi,37.0292,37.31566,0,,0,
11161,237 Nolu Cad. Park,37.03096,37.32081,0,,0,
12437,Emek Apt.,37.031481,37.322044,0,,0,
11936,Mahsuni Şerif Caddesi,37.04741,37.37135,0,,0,
11921,Aydınlar Mahallesi Sosyal Tesisler,37.07384,37.40463,0,,0,
11296,Kurbanbaba Gençlik Merkezi,37.04716,37.36815,0,,0,
11082,Yavuz Sultan Selim Al-Pa,37.04757,37.3365,0,,0,
11545,Batmazoglu Camii,37.07143,37.41007,0,,0,
11268,Kurbanbaba Gençlik Merkezi,37.0476,37.36861,0,,0,
11546,Batmazoglu Camii,37.0715,37.40992,0,,0,
12165,Güzelyurt Konutarı,37.073605,37.410089,0,,0,
11935,Yukarıbayır 30.Nolu Cadde,37.04606,37.36622,0,,0,
